Asia,China,2019-11-17,Starting Country,1.0,55,No Trace,No Trace
North America,Saint Lucia,2020-3-13,United Kingdom,1.0,63,No death till 16 May 2020,nan
Africa,Sudan,2020-3-13,United Arab Emirates,1.0,50,12 March 2020,50
South America,Venezuela,2020-3-13,Unspecified ,2.0,31,26 March 2020,47
South America,Suriname,2020-3-13,Unspecified ,1.0,No Trace,3 April 2020,No Trace
Africa,Kenya,2020-3-13,United States  United Kingdom,1.0,27,26 March 2020,66
Africa,Congo (Brazzaville),2020-3-14,France,1.0,50,1 April 2020,No Trace
Africa,Rwanda,2020-3-14,India,1.0,No Trace,No death till 16 May 2020,nan
Africa,Seychelles,2020-3-14,Italy,2.0,No Trace,No death till 16 May 2020,nan
Africa,Central African Republic,2020-3-14,Italy,1.0,74,No death till 16 May 2020,nan
Africa,Namibia,2020-3-14,Spain,2.0,No Trace,No death till 16 May 2020,nan
Africa,Equatorial Guinea,2020-3-14,Spain,1.0,42,22 April 2020,No Trace
Africa,Eswatini,2020-3-14,United States  Lesotho,1.0,33,16 April 2020,59
Asia,Uzbekistan,2020-3-15,France ,1.0,No Trace,27 March 2020,72
North America,Bahamas,2020-3-15,nan,1.0,61,6 April 2020,80
Africa,Tanzania,2020-3-16,Belgium,1.0,46,31 March 2020,49
Africa,Benin,2020-3-16,Burkina Faso  Belgium,1.0,49,6 April 2020,43
Africa,Somalia,2020-3-16,China,1.0,46,8 April 2020,58
Africa,Liberia,2020-3-16,Switzerland,1.0,No Trace,4 April 2020,72
Europe,Montenegro,2020-3-17,Spain  United States,2.0,72  47,23 March 2020,65
Africa,Gambia,2020-3-17,United Kingdom,1.0,No Trace,23 March 2020,70
North America,Barbados,2020-3-17,United States,2.0,38 39,5 April 2020,81
Africa,Zambia,2020-3-18,France,2.0,No Trace,2 April 2020,No Trace
North America,Nicaragua,2020-3-18,Panama,1.0,40,26 March 2020,No Trace
Asia,Kyrgyzstan,2020-3-18,Saudi Arabia,3.0,No Trace,3 April 2020,60
Africa,Djibouti,2020-3-18,Spain,1.0,No Trace,9 April 2020,No Trace
Africa,Mauritius,2020-3-18,United Kingdom  Cruise Ship*,3.0,No Trace,21 March 2020,No Trace
Africa,Chad,2020-3-19,Cameroon,1.0,No Trace,19 March 2020,No Trace
North America,El Salvador,2020-3-19,Italy,1.0,No Trace,1 April 2020,60
Africa,Niger,2020-3-19,Togo Cote d'Ivoire  Burkina Faso,1.0,36,24 March 2020,63
Australia,Fiji,2020-3-19,No Trace,1.0,27,No death till 16 May 2020,nan
North America,Haiti,2020-3-19,United States,2.0,No Trace,5 April 2020,55
Australia,Papua New Guinea,2020-3-20,Spain,1.0,45,No death till 16 May 2020,nan
Africa,Madagascar,2020-3-20,No Trace,3.0,No Trace,No death till 16 May 2020,nan
Africa,Cabo Verde,2020-3-20,United Kingdom,1.0,62,24 March 2020,62
Africa,Eritrea,2020-3-21,Norway,1.0,39,No death till 16 May 2020,nan
Africa,Angola,2020-3-21,Portugal,2.0,38 30+,30 March 2020,59  37
Africa,Zimbabwe,2020-3-21,United Kingdom  South Africa,1.0,38,23 March 2020,30
Asia,Timor-Leste,2020-3-21,Unspecified,1.0,No Trace,No death till 16 May 2020,nan
Africa,Mozambique,2020-3-22,United Kingdom,1.0,75,No death till 16 May 2020,nan
North America,Grenada,2020-3-22,United Kingdom,1.0,50,No death till 16 May 2020,nan
North America,Dominica,2020-3-22,United Kingdom,1.0,54,No death till 16 May 2020,nan
South America,Uganda,2020-3-22,United Arab Emirates,1.0,36,No death till 16 May 2020,nan
Asia,Syria,2020-3-22,Unspecified,1.0,20,29 March 2020,No Trace
North America,Belize,2020-3-23,United States,1.0,38,7 April 2020,54
Asia,Myanmar,2020-3-23,United States  United Kingdom,2.0,36  26,31 March 2020,69
Africa,Libya,2020-3-24,Saudi Arabia. Tunisia,1.0,73,2 April 2020,85
Asia,Laos,2020-3-24,Thailand  Cambodia,2.0,28  36,No death till 16 May 2020,nan
North America,Saint Kitts and Nevis,2020-3-24,United States  Italy,2.0,21 57,No death till 16 May 2020,nan
Africa,Guinea-Bissau,2020-3-25,Congo (Kinshasa),2.0,Unspecified,26 April 2020,53
Africa,Mali,2020-3-25,France,2.0,49 62,28 March 2020,No Trace
Africa,Botswana,2020-3-30,United Kingdom  Thailand,3.0,Unspecified,1 April 2020,79
Africa,Sierra Leone,2020-3-31,France,1.0,37,23 April 2020,76 69
Africa,Burundi,2020-3-31,Rwanda  United Arab Emirates,2.0,56 42,13 April 2020,No Trace
Africa,Malawi,2020-4-1,India,3.0,63  N/A  N/A,7 April 2020,51
Africa,Western Sahara,2020-4-4,No Trace,1.0,No Trace,No death till 16 May 2020,nan
Africa,South Sudan,2020-4-5,Ethiopia,1.0,29,14 May 2020,51
Africa,Sao Tome and Principe,2020-4-6,No Trace,4.0,No Trace,30 April 2020,55
Asia,Yemen,2020-4-10,No Trace,1.0,60,29 April 2020,No Trace
Africa,Comoros,2020-4-30,France,1.0,50,7 May 2020,No Trace
Asia,Tajikistan,2020-4-30,No Trace,15.0,No Trace,2 May 2020,No Trace
Africa,Lesotho,2020-5-13,Saudi Arabia,1.0,No Trace,No death till May 16  2020.,nan
